cell_id,therm_prs
3091995,0.03263
3091997,0.01082
3095612,0.03002
3095614,0.00652
3099228,0.0226
3099229,0.02842
3099231,0.00552
3102845,0.01792
3102847,0.00485
3102848,0.0082
3106462,0.0204
3106464,0.0018600000000000001
3106465,0.00853
3110079,0.02567
3110080,0.01023
3110082,0.00515
3113684,0.04372
3113685,0.02487
3113687,0.0035
3113697,0.01909
3113698,0.0038
3113699,0.0048
3117301,0.05939
3117303,0.00486
3117304,5.1e-4
3117305,0
3117306,0.00663
3117315,0.01023
3117316,0.00706
3117317,0.00984
3120918,0.06833
3120919,0.05139
3120921,0.00208
3120922,0
3120933,0.0101
3124536,0.06987
3124539,0
3124550,0.0136
3128153,0.06142
3128156,0
3131770,0.05879
3131771,0.02865
3131772,0.00369
3131773,2.4e-4
3135387,0.06398
3135388,0.03709
3135389,0.01618
3139004,0.05955
3139005,0.03732
3142621,0.05696
3142622,0.03479
3146238,0.06347
3146239,0.04185
3146240,0.02782
3149855,0.06898
3149856,0.04826
3149857,0.0352
3153472,0.07183
3153473,0.04539
3157086,0.08881
3157088,0.08756
3157090,0.0406
3160703,0.09004
3160705,0.07561
3160707,0.02905
3164322,0.0727
3164323,0.04981
3164324,0.03854
3167940,0.06643
3171557,0.06868
3171558,0.0484
3175173,0.0714
3175174,0.06377
3175175,0.04653
3178790,0.06489
3178791,0.04569
3178792,0.03495
3182408,0.04562
3182409,0.03413
3186024,0.07091
3186025,0.04209
3186026,0.02074
3189641,0.06216
3189642,0.02757
3189643,0.00664
3196873,0.06816
3196874,0.06048
3200489,0.07625
3200490,0.04753
3200491,0.03045
3200492,0.02665
3204104,0.08655
3204105,0.0722
3204106,0.06484
3204107,0.01946
3204108,0
3204109,0.00278
3204132,0
3207720,0.08727
3207721,0.06277
3207722,0.05957
3207726,0
3207748,0
3207749,0
3211338,0.03092
3211343,0
3211344,0
3211365,0
3214954,0.05563
3214955,4e-4
3214960,0
3214961,0
3214982,0
3214983,0
3214988,0.03326
3218514,0.00427
3218515,0.01563
3218533,0.09197
3218534,0.09323
3218535,0.08846
3218570,0.08541
3218571,0.0528
3218576,0
3218578,0
3218588,0
3218589,0
3218599,0
3218605,0.02126
3218606,0.05424
3222129,0
3222130,0
3222131,0.00461
3222149,0.05843
3222150,0.06739
3222152,0.07587
3222153,0.04933
3222154,0.02863
3222155,0.02794
3222156,0.04176
3222157,0.05645
3222186,0.0685
3222193,0
3222194,0
3222195,0
3222205,0
3222206,0
3222216,0
3222222,0.01875
3222223,0.04864
3225746,0
3225747,0
3225748,0.00615
3225765,0.0562
3225766,3.5e-4
3225771,0
3225774,0.00598
3225802,0.09248
3225803,0.04995
3225804,0
3225810,0
3225822,0
3225823,0
3225832,0
3225839,0.0474
3229364,3.4e-4
3229365,0.01416
3229381,0.06677
3229382,0.03369
3229383,0
3229390,0
3229391,0
3229394,0.09141
3229395,0.09574
3229396,0.09871
3229399,0.09609
3229419,0.09666
3229427,0
3229449,0
3229455,0.08652
3229456,0.10504
3229457,0.1305
3232972,0
3232981,0.0231
3232982,0.02642
3232983,0.03248
3232995,0.0858
3232996,0.07209
3232997,0.06419
3232998,0.05696
3232999,0.0124
3233000,0
3233008,0
3233009,0.03647
3233010,0.07746
3233011,0.08816
3233013,0.08258
3233014,0.07832
3233015,0.05268
3233016,0.04301
3233017,0.04792
3233018,0.0523
3233019,0.04983
3233020,0.06489
3233021,0.08059
3233022,0.08057
3233023,0.05812
3233024,0.03712
3233025,0.03479
3233026,0.03666
3233027,0.05751
3233035,0.06106
3233036,0.08325
3233043,0
3233066,0
3233071,0.08928
3233072,0.14018
3233105,0.10007
3233106,0.10703
3236600,0.03847
3236612,0.08099
3236613,0.05996
3236614,0.05556
3236615,0.05208
3236616,0.01813
3236632,0
3236634,0
3236635,0
3236636,0
3236637,0.01838
3236638,0.05491
3236639,0.04489
3236640,0
3236641,0
3236642,0
3236643,0
3236644,0
3236651,0
3236652,0.02169
3236659,0
3236660,0
3236683,0
3236684,0
3236687,0
3236688,0.10797
3236689,0.16731
3236722,0.10221
3236723,0.11158
3240207,0
3240217,0.04149
3240229,0.08076
3240231,0.04218
3240232,0.04549
3240233,0.05041
3240254,0
3240255,0.04529
3240256,0.02958
3240260,0
3240261,0
3240262,0.05966
3240263,0.11906
3240264,0.11289
3240265,0.09332
3240266,0.03032
3240267,0
3240268,0
3240275,0
3240276,0
3240288,0
3240300,0
3240301,0
3240304,0
3240306,0.18634
3240339,0.10994
3240369,0.12113
3240370,0.12062
3243824,0.01806
3243825,0.05292
3243826,0.04527
3243833,0.03133
3243834,0.04767
3243845,0.04738
3243846,0.06407
3243848,0.01895
3243849,0.02881
3243872,0.05275
3243882,0.09873
3243883,0.03093
3243892,0
3243916,0.01367
3243918,0
3243919,0
3243920,0
