cell_id,therm_prs
1987863,0
1991480,0
1995097,0
1998713,0
1998714,0
2002330,0
2002331,0
2005948,0
2009564,0
2009565,0
2013181,0
2013182,0
2016799,0
2020415,0
2020416,0
2024032,0
2024033,0
2027649,0
2027650,0
2031255,0
2031266,0
2031267,0
2034872,0
2034873,0
2034882,0
2034883,0
2034884,0
2038488,0
2038489,0
2038490,0
2038491,0
2038500,0
2038501,0
2042106,0
2042107,0
2042108,0
2042109,0
2042117,0
2045724,0
2045725,0
2045726,0
2045727,0
2045734,0
2045735,0
2045736,0
2045737,0
2045738,0
2045739,0
2045740,0
2049343,0
2049344,0
2049345,0
2049351,0
2049353,0
2049354,0
2049355,0
2049356,0
2049357,0
2049358,0
2052960,0
2052961,0
2052962,0
2052963,0
2052967,0
2052968,0
2052969,0
2052970,0
2052971,0
2052972,0
2052973,0
2052974,0
2052975,0
2052976,0
2056578,0
2056579,0
2056580,0
2056581,0
2056584,0
2056592,0
2056593,0
2060194,0
2060195,0
2060196,0
2060197,0
2060198,0
2060199,0
2060200,0
2060201,0
2060209,0
2060210,0
2060211,0
2063811,0
2063812,0
2063813,0
2063814,0
2063815,0
2063826,0
2063827,0
2063828,0
2063829,0
2067429,0
2067430,0
2067431,0
2067432,0
2067433,0
2067444,0
2067445,0
2067446,0
2071047,0
2071048,0
2071049,0
2071050,0
2071051,0
2071063,0
2071064,0
2074664,0
2074665,0
2074666,0
2074667,0
2074680,0
2074681,0
2074682,0
2078282,0
2078283,0
2078284,0
2078298,0
2078299,0
2078300,0
2081900,0
2081901,0
2081916,0
2081917,0
2085517,0
2085518,0
2085519,0
2085534,0
2085535,0
2089135,0
2089151,0
2089152,0
2092752,0
2092753,0
2092769,0
2092770,0
2096370,0
2096386,0
2096387,0
2096388,0
2099987,0
2099988,0
2100004,0
2100005,0
2100006,0
2103604,0
2103605,0
2103621,0
2103622,0
2103623,0
2103624,0
2107222,0
2107238,0
2107239,0
2107240,0
2107241,0
2110839,0
2110840,0
2110848,0
2110855,0
2110856,0
2110857,0
2110858,0
2110859,0
2114457,0
2114458,0
2114474,0
2114475,0
2114476,0
2114477,0
2118074,0
2118075,0
2118080,0
2118094,0
2121692,0
2121698,0
2121711,0
2121712,0
2125309,0
2125310,0
2125329,0
2125330,0
2128927,0
2128946,0
2128947,0
2132545,0
2132563,0
2132564,0
2132565,0
2132566,0
2136162,0
2136163,0
2136180,0
2136181,0
2136182,0
2136183,0
2139780,0
2139797,0
2139798,0
2139799,0
2139800,0
2143398,0
2143415,0
2143416,0
2143417,0
2143418,0
2147016,0
2147033,0
2147034,0
2147035,0
2147036,0
2150633,0
2150650,0
2150652,0
2150653,0
2150654,0
2154251,0
2154267,0
2154268,0
2154269,0
2154271,0
2154272,0
2157868,0
2157885,0
2157886,0
2157887,0
2157888,0
2157889,0
2157890,0
2161486,0
2161503,0
2161504,0
2161505,0
2161506,0
2161507,0
2165103,0
2165104,0
2165121,0
2165122,0
2165123,0
2165124,0
2165125,0
2168721,0
2168739,0
2168740,0
2168741,0
2168742,0
2172338,0
2172339,0
2172355,0.00606
2172356,0.00789
2172357,8.5e-4
2172358,0
2172359,0
2172360,0
2175956,0
2175957,0
2175973,0.0136
2175974,0.00704
2175975,0
2175976,0
2175977,0
2179574,0
2179575,0
2179590,0.01573
2179591,0.01503
2179592,0.00602
2179593,0
2179594,0
2183191,0
2183192,0
2183209,0.01568
2183210,0.0064
2186809,0
2186810,0
2186826,0.02527
2186827,0.01022
2186828,0
2190426,0
2190427,0
2190428,0
2190444,0.02356
2190445,0
2190446,0
2194044,0
2194045,0
2194046,0
2194061,0.03614
2194062,0.02278
2194063,0
2194064,0
2197661,0
2197662,0
2197663,0
2197678,0.04295
2197679,0.03441
2197680,0.01651
2197681,0
2201279,0
2201280,0
2201293,0.04804
2201296,0.0479
2201297,0.03642
2201298,0.00822
2204897,0
2204898,0
2204899,0
2204909,0.04004
2204910,0.05026
2204911,0.05544
2204914,0.04906
2204915,0.03392
2204916,0.00166
2208515,0
2208516,0
2208517,0
2208533,0.02341
2208534,0
2208536,0
2212132,0
2212133,0
2212134,0
2212135,0
2212152,0.01004
2212153,0.0034
2212154,0.03247
2215751,0
2215752,0
2215770,0.07052
2215771,0.07044
2215772,0.04691
2215773,0
2219368,0
2219369,0
2219370,0
2219387,0.09528
2219388,0.09735
2219389,0.08541
2219390,0.04739
2219391,0
2222984,0
2222985,0
2222986,0
2222987,0
2223006,0.11207
2223007,0.09847
2223008,0.07915
